Block,Correlation_pre,Correlation_post,Change
Equities within,0.47830091672355735,0.45502867464360375,-0.023272242079953598
Yields within,0.5023675478305378,0.6553313492896566,0.1529638014591188
Commodities within,0.18391236154024537,-0.010336385635599354,-0.19424874717584473
FX within,-0.20629139294047072,-0.23139071695745553,-0.02509932401698481
Credit within,0.2503010143325721,0.5565552698506051,0.306254255518033
Equities vs Yields,0.16202915796239462,0.03459150335801919,-0.12743765460437542
Equities vs Credit,0.13753396687885613,0.3142290456798745,0.17669507880101834
Equities vs Commodities,0.06409402490816371,0.04399117945151064,-0.02010284545665307
Equities vs FX,0.08193280642266819,0.032809574429577944,-0.049123231993090245
Credit vs Yields,-0.3339051367068732,-0.45846769163174855,-0.12456255492487533
