,S&P500,Eurostoxx 50,Hang Seng,MSCI EM,SMI,US T 10-year Yield,German Gov 10-year yield,Oil futures,Gold,EURUSD,USDJPY,US IG Bonds,US HY Bonds,USDCHF
S&P500,0.0,0.014342587471422252,-0.008232345382873874,-0.07927574651635488,-0.008943425626138868,-0.16469089920162405,-0.18665253704777668,-0.13755885088713998,0.2029713196634498,0.14280027950448487,-0.15332924248964924,0.33166745306013046,0.32453261900802444,-0.16235726345595347
Eurostoxx 50,0.014342587471422252,0.0,-0.03456331282226599,-0.0441897696045358,-0.00984727836407906,-0.12754364320225733,-0.16727500415125673,-0.2236225156116302,0.11350869064619842,0.2379983171839972,-0.15623313011249976,0.2709206072928112,0.18031229767298185,-0.19709247772144423
Hang Seng,-0.008232345382873874,-0.03456331282226599,0.0,0.14686213812073323,-0.10467060755507487,-0.030325962922376506,-0.05398019543181991,-0.09606180958763888,0.10145231000810272,0.09999768280955225,-0.07441195465570363,0.055740426205553244,0.005773844237010328,-0.10226473991086424
MSCI EM,-0.07927574651635488,-0.0441897696045358,0.14686213812073323,0.0,-0.10420466052036798,-0.11817848783676196,-0.15946603462483733,-0.19510753052944738,0.10017065446245682,0.10073787859716926,-0.1379402716184707,0.20205259223878339,0.05017593971334566,-0.14921694588397855
SMI,-0.008943425626138868,-0.00984727836407906,-0.10467060755507487,-0.10420466052036798,0.0,-0.11131740734399895,-0.15494637428104485,-0.1903920828939501,0.12361136016306812,0.18135380198385642,-0.133339352572011,0.23607827696073386,0.10969673162080923,-0.23355106155483898
US T 10-year Yield,-0.16469089920162405,-0.12754364320225733,-0.030325962922376506,-0.11817848783676196,-0.11131740734399895,0.0,0.15296380145911892,-0.14725876896589032,-0.174734639782477,-0.1588014830455989,0.21896609445809606,0.05725740207155572,-0.16949560808454517,0.1994142887746442
German Gov 10-year yield,-0.18665253704777668,-0.16727500415125673,-0.05398019543181991,-0.15946603462483733,-0.15494637428104485,0.15296380145911892,0.0,-0.1342378981359552,-0.152268075568273,-0.07256373595850427,0.1702198437484125,-0.10537432218305898,-0.28063769150345297,0.1553639738255222
Oil futures,-0.13755885088713998,-0.2236225156116302,-0.09606180958763888,-0.19510753052944738,-0.1903920828939501,-0.14725876896589032,-0.1342378981359552,0.0,-0.19424874717584478,-0.09729508591939018,-0.05516674849696945,0.1137058591957583,-0.17968117462705574,0.05421471590172954
Gold,0.2029713196634498,0.11350869064619842,0.10145231000810272,0.10017065446245682,0.12361136016306812,-0.174734639782477,-0.152268075568273,-0.19424874717584478,0.0,0.0651483573098644,-0.14294677769180206,0.1637168931719652,0.10403968159438473,-0.10983471421468682
EURUSD,0.14280027950448487,0.2379983171839972,0.09999768280955225,0.10073787859716926,0.18135380198385642,-0.1588014830455989,-0.07256373595850427,-0.09729508591939018,0.0651483573098644,0.0,-0.19101454746417584,0.22369506928507382,0.2533274683355782,-0.049446655449276844
USDJPY,-0.15332924248964924,-0.15623313011249976,-0.07441195465570363,-0.1379402716184707,-0.133339352572011,0.21896609445809606,0.1702198437484125,-0.05516674849696945,-0.14294677769180206,-0.19101454746417584,0.0,-0.21442220773218226,-0.2611675754302075,0.16516323086249818
US IG Bonds,0.33166745306013046,0.2709206072928112,0.055740426205553244,0.20205259223878339,0.23607827696073386,0.05725740207155572,-0.10537432218305898,0.1137058591957583,0.1637168931719652,0.22369506928507382,-0.21442220773218226,0.0,0.3062542555180329,-0.23753715641066583
US HY Bonds,0.32453261900802444,0.18031229767298185,0.005773844237010328,0.05017593971334566,0.10969673162080923,-0.16949560808454517,-0.28063769150345297,-0.17968117462705574,0.10403968159438473,0.2533274683355782,-0.2611675754302075,0.3062542555180329,0.0,-0.23704315211089708
USDCHF,-0.16235726345595347,-0.19709247772144423,-0.10226473991086424,-0.14921694588397855,-0.23355106155483898,0.1994142887746442,0.1553639738255222,0.05421471590172954,-0.10983471421468682,-0.049446655449276844,0.16516323086249818,-0.23753715641066583,-0.23704315211089708,0.0
