,S&P500,Eurostoxx 50,Hang Seng,MSCI EM,SMI,US T 10-year Yield,German Gov 10-year yield,Oil futures,Gold,EURUSD,USDJPY,US IG Bonds,US HY Bonds,USDCHF
S&P500,1.0,0.5475621232074458,0.15027978336643563,0.3384184121488178,0.4543555228016185,0.06949393341200814,-0.035085438212238015,-0.0012100378883825383,0.15689608446749756,0.19721244947796024,0.07557234031363035,0.190476344730697,0.5878390944410073,-0.06361692672892835
Eurostoxx 50,0.5475621232074458,1.0,0.32765941980756746,0.5053218118311336,0.7926926772185995,0.09448717500561571,0.06232036429643452,-0.06632732043314378,0.07772988941372634,0.2052632461569893,0.0362738707562307,0.13940595285598023,0.5744081042010141,-0.09060154271220408
Hang Seng,0.15027978336643563,0.32765941980756746,1.0,0.8085961115358812,0.23026868704454742,0.04278441344143502,0.02192549379682417,-0.01781281430698583,0.13315085215301845,0.1307660288653577,-0.025520913019522636,0.06885232694217261,0.2998465864475382,-0.09080637822223614
MSCI EM,0.3384184121488178,0.5053218118311336,0.8085961115358812,1.0,0.3951321974739909,0.027051366811177615,0.002903885613494613,-0.027577810980486905,0.2103236543214239,0.22907862977140872,-0.047864310380929496,0.16494088319348124,0.5016145528947611,-0.17210011315775242
SMI,0.4543555228016185,0.7926926772185995,0.23026868704454742,0.3951321974739909,1.0,0.05215085083184568,0.007882988583594455,-0.08420660690046647,0.05894590466890564,0.11904823955459336,0.0373116826302457,0.14830531658040394,0.46660129451168925,-0.04787268686117377
US T 10-year Yield,0.06949393341200814,0.09448717500561571,0.04278441344143502,0.027051366811177615,0.05215085083184568,1.0,0.6553313492896566,0.009749791079590338,-0.27437710539432647,-0.23278486599092132,0.4577749316516885,-0.8099068746632908,-0.19280423183086212,0.349786801234402
German Gov 10-year yield,-0.035085438212238015,0.06232036429643452,0.02192549379682417,0.002903885613494613,0.007882988583594455,0.6553313492896566,1.0,-0.008929743836812654,-0.21882354858074893,-0.024538347749381406,0.3299405838416515,-0.6071428274777788,-0.22401683255506238,0.17109107175423416
Oil futures,-0.0012100378883825383,-0.06632732043314378,-0.01781281430698583,-0.027577810980486905,-0.08420660690046647,0.009749791079590338,-0.008929743836812654,1.0,-0.010336385635599396,0.0006361364246029069,0.009902069040924761,-0.000276897367868148,-0.027165065304600822,0.005802224670173708
Gold,0.15689608446749756,0.07772988941372634,0.13315085215301845,0.2103236543214239,0.05894590466890564,-0.27437710539432647,-0.21882354858074893,-0.010336385635599396,1.0,0.3845495594808281,-0.35075310435536533,0.2771891504553545,0.1438857144376012,-0.4154324280807403
EURUSD,0.19721244947796024,0.2052632461569893,0.1307660288653577,0.22907862977140872,0.11904823955459336,-0.23278486599092132,-0.024538347749381406,0.0006361364246029069,0.3845495594808281,1.0,-0.4999342770690294,0.3083151961382101,0.30697764247850023,-0.7731010806573327
USDJPY,0.07557234031363035,0.0362738707562307,-0.025520913019522636,-0.047864310380929496,0.0373116826302457,0.4577749316516885,0.3299405838416515,0.009902069040924761,-0.35075310435536533,-0.4999342770690294,1.0,-0.41614966960521715,-0.15290727948347854,0.5788632068539955
US IG Bonds,0.190476344730697,0.13940595285598023,0.06885232694217261,0.16494088319348124,0.14830531658040394,-0.8099068746632908,-0.6071428274777788,-0.000276897367868148,0.2771891504553545,0.3083151961382101,-0.41614966960521715,1.0,0.5565552698506051,-0.37508389714451446
US HY Bonds,0.5878390944410073,0.5744081042010141,0.2998465864475382,0.5016145528947611,0.46660129451168925,-0.19280423183086212,-0.22401683255506238,-0.027165065304600822,0.1438857144376012,0.30697764247850023,-0.15290727948347854,0.5565552698506051,1.0,-0.23944644277780386
USDCHF,-0.06361692672892835,-0.09060154271220408,-0.09080637822223614,-0.17210011315775242,-0.04787268686117377,0.349786801234402,0.17109107175423416,0.005802224670173708,-0.4154324280807403,-0.7731010806573327,0.5788632068539955,-0.37508389714451446,-0.23944644277780386,1.0
