,Explained_pre,Explained_post,Change
PC1,0.2581110918680695,0.2946275808840739,0.036516489016004405
PC2,0.1763635224839987,0.20856099952060578,0.03219747703660708
PC3,0.13865132546936157,0.11228932324036207,-0.026362002228999495
PC4,0.07277993748594508,0.0862528832988044,0.013472945812859322
PC5,0.06819516092737118,0.0720229024069132,0.003827741479542013
PC6,0.056071552871896635,0.053733368192681465,-0.0023381846792151703
PC7,0.0503080203115919,0.04676706136902758,-0.003540958942564322
PC8,0.047521012762071255,0.03227752035381021,-0.015243492408261047
PC9,0.039505765994987334,0.027075208700099027,-0.012430557294888307
PC10,0.03503844238423805,0.021304716941438893,-0.013733725442799154
PC11,0.019490996283748105,0.014553637805418764,-0.004937358478329341
PC12,0.01841461599892968,0.012936280879477796,-0.005478335119451885
PC13,0.012352380813134839,0.010804214100007491,-0.0015481667131273472
PC14,0.0071961743446561765,0.006794302307279316,-0.00040187203737686045
