,Eigenvalue,Explained_variance_ratio,Cumulative_explained_variance
PC1,4.124786132377036,0.2946275808840739,0.2946275808840739
PC2,2.9198539932884815,0.20856099952060578,0.5031885804046797
PC3,1.5720505253650694,0.11228932324036207,0.6154779036450418
PC4,1.207540366183262,0.0862528832988044,0.7017307869438463
PC5,1.008320633696785,0.0720229024069132,0.7737536893507595
PC6,0.7522671546975407,0.053733368192681465,0.827487057543441
PC7,0.6547388591663863,0.04676706136902758,0.8742541189124685
PC8,0.451885284953343,0.03227752035381021,0.9065316392662788
PC9,0.3790529218013865,0.027075208700099027,0.9336068479663778
PC10,0.2982660371801446,0.021304716941438893,0.9549115649078167
PC11,0.20375092927586275,0.014553637805418764,0.9694652027132354
PC12,0.18110793231268918,0.012936280879477796,0.9824014835927133
PC13,0.15125899740010493,0.010804214100007491,0.9932056976927208
PC14,0.09512023230191045,0.006794302307279316,1.0000000000000002
