,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
S&P500,-0.2457748475826327,-0.27910453293805076,-0.1435564043509602,-0.3138565726626689,-0.15142445045863365,-0.3328012193348395,-0.448215536793109,0.27879784597806406,0.19188503897891787,-0.5166994100043435,0.16075668312672858,0.00788633189368887,0.02024331594557466,0.012519053452236506
Eurostoxx 50,-0.27898240243400807,-0.38075078896192827,-0.07586476015542645,-0.2127269337584099,0.028191338789832803,0.0942575911546828,0.33625639964800014,-0.04172340181804146,0.00691290785262029,0.009525973020227008,-0.30147596088693945,-0.7004035872486629,0.07923986783160175,0.11760341358286394
Hang Seng,-0.20736184043220562,-0.249947461939328,0.16950323617185017,0.6549542464399503,0.03301078681950741,0.06829184380263782,-0.02119323998771768,0.021133300606253385,0.08543324090074587,-0.18627017874839166,-0.02365272585568253,0.07314528750893423,0.6174258735134424,-0.03258606538593986
MSCI EM,-0.29178582415955645,-0.29683131202199026,0.13254063093413787,0.47629447449951334,0.009055377518124626,0.014293034898997192,-0.05505280233026097,0.005484020738345981,0.014546098836156266,0.014398777593813333,0.08130108695848469,-0.014749510222828166,-0.7532743177049257,0.06567387003473177
SMI,-0.24463922511588626,-0.33932180812399904,-0.14618620683359534,-0.25081507340432874,0.07898555858812152,0.09623081470617074,0.5792871514232095,-0.08990241802120293,0.06185577392325067,-0.0423817213222705,0.22796676492481538,0.5641490292343214,0.011367672109706975,-0.07479352298821607
US T 10-year Yield,0.2483402271381867,-0.38490362372249937,0.2974205433140899,-0.1159940283422763,-0.0440880448745772,-0.07413701366243736,-0.084284425585296,0.32476032501985985,0.093589742998337,0.44506926851551853,0.011530678353799756,0.15128873560065104,0.09961698045840367,0.5731134945235572
German Gov 10-year yield,0.20409044685088643,-0.2929026966684858,0.43002640762207517,-0.1670937109297608,-0.005681921257973921,0.13295024182597295,-0.11282807795679704,-0.2880008735078611,-0.6551222945459558,-0.28780918644306175,0.17645437161442448,-0.029907215799769703,0.012438136976349785,-0.04609455796591725
Oil futures,0.02190801112094295,0.03354702652088834,0.015604586203909967,0.06863690002986846,-0.9779745344584851,0.059166652097381686,0.18067926776690796,-0.013833434805558773,-0.018973775958883533,0.004665328897566123,0.007543976958411257,0.0007165230308376674,-0.00029842701621521416,-0.015151927100861455
Gold,-0.24323096031417607,0.14308906585246686,0.2346110671991835,0.03149604583110206,0.0016631065359048259,-0.8495400614454179,0.22122121495652913,-0.11561911076582751,-0.22764899798047084,0.15335668636353814,-0.033799931983815035,0.001116773190188658,0.05926377855624116,-0.017434483372639337
EURUSD,-0.3093962263880524,0.12125069310240054,0.45266657476160366,-0.23527690397245937,-0.03970728485219308,0.16169036132399947,-0.16904895980612472,-0.20658685860067993,0.20814551416513394,-0.07302730568822578,-0.6250684949561971,0.2966860126718812,-0.0534473019098122,0.00930068114548956
USDJPY,0.24997197808997557,-0.32012857238070136,-0.2173905534827303,0.030682479441074034,-0.055323722840753285,-0.19983605888002218,-0.22601406785572253,-0.7472331606968345,0.33039493634862094,0.1552465729485819,-0.004588821213055618,0.001721233619062769,0.023883931897963066,-0.023236726759057354
US IG Bonds,-0.3508690010688104,0.24237431256320902,-0.3393279190280683,0.04108495893350028,-0.020775375252503753,0.10870333323378398,-0.1315266865028734,-0.2704843070712316,-0.2951861787687666,-0.05713864023000151,0.06958005036721256,0.09144027419917275,0.07603884067411275,0.6994432421001199
US HY Bonds,-0.3705198839709064,-0.1722475198789294,-0.20602249516094942,-0.08616681814621134,-0.07335556577776445,0.11444348702397725,-0.382259625825184,0.08632089596015032,-0.3296930746095927,0.5736070888689667,-0.016026357511814554,0.07236139647312828,0.11775327743698143,-0.39248220726519173
USDCHF,0.3036514415163978,-0.22420174720684188,-0.40932308919985916,0.15819081122270842,0.0015556083004156574,-0.16385175120750498,0.049813996080071046,0.16837542751526313,-0.3366744350800444,-0.17333677748614218,-0.6291526148235708,0.2452206772403989,-0.0887681815832998,0.0060681468922644845
