,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
S&P500,-0.34080504891794194,-0.059806178664663714,0.014633362017319023,0.030048877307743617,-0.4876219702795772,-0.08105762966026663,-0.30755368003203165,-0.2959218160656089,-0.3513213027953389,0.5109623616102019,0.1674030775131029,-0.16353658728900522,0.10856495881531464,-0.03987490386495082
Eurostoxx 50,-0.4327649782147224,-0.12221881496076042,0.07995797627154214,-0.07535026184307174,-0.25015443168815427,-0.20906961342242125,0.158375910772466,0.10467723319313793,0.2273368432037077,-0.1783002867134924,0.27584759552306626,0.0793453892160062,-0.6910158013580565,0.003878500635587305
Hang Seng,-0.27677988961289335,-0.2215108106167337,0.07146853828665556,-0.2198968989114806,0.653301439939313,-0.01682390986945612,-0.07817098383338854,-0.25375382010389436,0.10695064223205328,0.05723499962234609,0.23406885657792012,-0.5016932124134429,0.013003082007649491,-0.04368365678911418
MSCI EM,-0.3779601713257037,-0.27179256496736776,0.012489215551266176,-0.10291266012307101,0.31464266642968725,-0.006354846844989222,-0.1359659142197065,-0.11930261371971145,-0.08422662008899073,0.14408568579795783,-0.32243164868476115,0.7113137251851805,0.024579578502372107,0.04877839215902395
SMI,-0.4042756360740109,-0.1082694322976535,0.1446522456887046,-0.10519645102843334,-0.25102982956825426,-0.2859122836755469,0.21277019536526104,0.1328477204782761,0.28699648929995103,-0.26142622020642126,-0.2199192274803463,-0.13806152845367908,0.6052001456204342,0.0276327786881646
US T 10-year Yield,-0.2684719186727589,0.3417735041969632,-0.3844722331888909,-0.034760318689970184,0.08843597917532325,-0.037041711044997525,-0.03245605477645415,-0.000900423247118011,-0.34943168642004546,-0.28551424159562533,0.014977153158513997,-0.078412700369401,-0.0019750826277608186,0.6647117063549245
German Gov 10-year yield,-0.2304478552055491,0.19189792244438691,-0.3552995930980573,-0.09984156725134424,0.03985360835157166,0.3451230411995788,0.17517255880891797,0.44062488814609774,0.34415827916039354,0.5527867269218023,0.01723279654651539,-0.03175894283124302,0.04222710458850397,0.03495823569441322
Oil futures,-0.1401329519953607,-0.07679507663179927,-0.19488133339440422,0.7723508609204466,0.0777864624786168,0.032441100617648384,0.42194705718088343,-0.373204525799633,0.1130438865811036,0.04822095257993764,-0.002019550145140693,-0.0028382640993656894,0.0204007131889766,0.002021291494030171
Gold,0.052609986601342494,-0.296227309621127,-0.24502445859241861,0.40091434626511435,0.14585806072422192,-0.4623029843418522,-0.4202694025726988,0.5163667618186657,-0.012965395312597057,0.04103927771580196,0.059680401425877334,-0.06796997528558195,0.017448525618722628,-0.010686563677408185
EURUSD,0.05392564602147201,-0.3818337537748197,-0.42950405568701217,-0.12378324186325124,-0.2139344545865953,0.20822509233809686,-0.16496255303744856,-0.17182625433894322,0.12945619479303613,-0.12954595599091107,-0.5706330179862033,-0.29925738253918993,-0.23805479413208142,-0.015756602583119804
USDJPY,-0.20621369636433232,0.27486626189878544,0.18635125862676144,0.2826921251515894,-0.0399685170525139,0.38341227185057036,-0.616211148074098,-0.07094538525859925,0.4052344777731474,-0.2501538343121642,0.05557342282230512,0.046553043769736194,0.04317486638195038,0.004399765118594431
US IG Bonds,0.20037126885085677,-0.3981645871088234,0.41890276330851606,0.08351647458914385,-0.07832558171265161,0.1584409860908799,0.02757126353801848,0.06466390290510905,0.147432373726204,0.21350319702697124,0.01539194732107409,-0.05586244626677498,-0.022009070858819077,0.7152061994359219
US HY Bonds,-0.2493208559730054,-0.2738521905412042,0.1742572528370605,0.15517641734045035,0.0065361895438126386,0.529625155166401,0.12654572201759168,0.38874968814643696,-0.5041199283776168,-0.23297278698503407,0.02618964791531367,-0.11458347323656112,0.023575095030084176,-0.19475326577096239
USDCHF,-0.13541257495608028,0.38034812078923436,0.41241547378067794,0.1693541071588375,0.14335699576959277,-0.1908476063014909,0.018758686086452498,0.12356261808001771,-0.11683412144600275,0.2107752684296039,-0.5958599498567443,-0.26547788180529286,-0.28563674842455256,-0.02110439849164596
