Asset,Vol_ann_pre,Vol_ann_post,Vol_change,Vol_change_%,Skew_pre,Skew_post,Excess_Kurtosis_pre,Excess_Kurtosis_post,VaR_5_pre,VaR_5_post,CVaR_5_pre,CVaR_5_post
S&P500,0.17346158217675434,0.20666897120307062,0.033207389026316286,0.19143944503214858,-0.3869594475237721,-0.5226023294201101,7.872327757162955,16.856409825030564,-0.017198538247563323,-0.017497621130400303,-0.026685768787163895,-0.030421858124255685
Eurostoxx 50,0.20765533103082978,0.19885233694138368,-0.008802994089446098,-0.0423923337086836,-0.2507906253536887,-0.7269753042365622,4.916133465847304,14.378088685452127,-0.021065427790651303,-0.017165904185093835,-0.03184880342929461,-0.029213267294535543
Hang Seng,0.2442455202368258,0.23646793271079738,-0.007777587526028418,-0.031843316997122804,-0.05994476938040179,0.09521086544241225,10.269087746103958,3.123969390170223,-0.023681214908395344,-0.021908349928245485,-0.03652168259754435,-0.03093884776645959
MSCI EM,0.17960024184084955,0.1755187328870769,-0.004081508953772656,-0.022725520366444898,-0.5314334944536606,-0.4363637556821151,7.841207234643113,4.587187139693269,-0.01806437481285732,-0.0165489383983975,-0.027747236446116832,-0.025571458153247385
SMI,0.1743382231761649,0.14961924389253128,-0.02471897928363362,-0.14178749119552309,-0.4760800551585034,-0.7875607287346371,5.693448274194683,14.855757965490369,-0.01711985368169675,-0.013391983517631052,-0.026963873810222094,-0.021627450739540772
US T 10-year Yield,92.57480862810068,96.20006244130545,3.6252538132047647,0.039160262569577,0.032967634595156836,-0.17112857934322098,2.0921103112131956,2.3154297061776754,-9.29699999999999,-9.531999999999984,-12.726710526315792,-13.570156249999998
German Gov 10-year yield,69.27910384226308,81.92873095171448,12.649627109451401,0.18258935823206496,0.20471875322294172,-0.2935249284564222,2.4918083642639246,3.357928847721915,-6.646999999999962,-7.86149999999997,-9.398684210526316,-12.220625
Oil futures,0.3771172809522486,4.837120404496528,4.46000312354428,11.826567884352707,-1.1125598320252432,-2.929393333452196,20.5893847031196,620.7269551652086,-0.03586605825178219,-0.04043568478001886,-0.05499526217880226,-0.19461851315400364
Gold,0.15569828479767872,0.17933065406678844,0.02363236926910972,0.15178310602341363,-0.26011712658344777,-0.7030863712766162,8.610422219967253,6.536271395762457,-0.014919355372075376,-0.017461419077374613,-0.023487291369114923,-0.02722150836241663
EURUSD,0.09685107614025987,0.07636756576973656,-0.020483510370523303,-0.21149491762857703,-0.0187959735140853,0.1122087810394818,1.8887426881125329,1.528771928909574,-0.00988088645477218,-0.0076304616948539815,-0.013826325596156989,-0.010170152483503612
USDJPY,0.10513927983024697,0.09529310109496301,-0.009846178735283956,-0.0936489079170139,-0.1563077316235231,-0.4280787927381099,4.029946786648986,4.207475222232659,-0.010675959388209793,-0.009658929509067543,-0.015628423230338112,-0.014291231822107892
US IG Bonds,0.04675164849061785,0.06526802038692993,0.018516371896312077,0.39605816038824715,-0.3543796704128698,-0.8447828091160963,2.539214042666692,8.919638347080067,-0.004622448181866927,-0.006205933581090011,-0.006673402998254026,-0.009322232501026512
US HY Bonds,0.04092734162856934,0.06270507903188664,0.0217777374033173,0.5321073037422823,-3.2773880725032214,-1.2253189222756196,51.84731868608325,25.270498657804733,-0.003219195915651112,-0.00494697803983253,-0.0064142300270318905,-0.00941789745912134
USDCHF,0.11372471021675983,0.08061297897869002,-0.033111731238069805,-0.2911568750094741,-3.329472668879889,-0.6096820054519617,89.74256675580843,4.433849712123941,-0.01098446817952498,-0.008149599103387155,-0.015835403601358128,-0.011801625685886313
