,Rolling_average_correlation
1991-09-19,0.010598889347039628
1991-09-20,0.011028443152528362
1991-09-25,0.0112308093923704
1991-09-26,0.011239681516030473
1991-09-27,0.011433158029925413
1991-09-30,0.011255747893481712
1991-10-01,0.01111152503826769
1991-10-02,0.010970680686134639
1991-10-10,0.010790943301326954
1991-10-11,0.010638137757911755
1991-10-18,0.01061728465350463
1991-10-21,0.010901836812410892
1991-10-22,0.010230679378513281
1991-10-23,0.009858407422424945
1991-10-24,0.009763592423775317
1991-10-25,0.009170800363407467
1991-10-28,0.009422427385919255
1991-10-29,0.009347694131925247
1991-10-30,0.008947478528227963
1991-10-31,0.007483881806926015
1991-11-05,0.007457063282707644
1991-11-06,0.006257446254354249
1991-11-07,0.006302391987922212
1991-11-08,0.0061203597050139835
1991-11-13,0.0061689309603101625
1991-11-14,0.006106521861710615
1991-11-15,0.005888241236714924
1991-11-18,0.005427892515654625
1991-11-19,0.005400030095314456
1991-11-22,0.005414516210293334
1991-11-25,0.005408767307928737
1991-11-26,0.004757008012711813
1991-11-27,0.004509391504403561
1991-12-03,0.004504288852355581
1991-12-04,0.0037191421561165107
1991-12-05,0.003228891892935095
1991-12-06,0.002921517785180849
1991-12-09,0.0019820660826107062
1991-12-10,0.002080437184595008
1991-12-11,0.0021465031238722962
1991-12-12,0.0020864511510235487
1991-12-13,0.0025791724868404436
1991-12-16,0.002492811725003389
1991-12-17,0.0025636708620110056
1991-12-18,0.0026202151376454232
1991-12-19,0.002930260082585438
1992-01-08,0.00311372490289314
1992-01-09,0.0021278055648153832
1992-01-10,0.0028200809548617235
1992-01-13,0.0030931289392763747
1992-01-16,0.003559725596504104
1992-01-17,0.0029982955131211677
1992-01-31,0.002825326290235372
1992-02-03,0.002575914251988656
1992-02-10,0.0026081159998547886
1992-02-11,0.002356712995403453
1992-02-12,0.0017925347087576484
1992-02-13,0.0018028458329953105
1992-02-14,0.0018843743780112604
1992-02-19,0.0018522516799579186
1992-02-20,0.002201753980942267
1992-03-03,0.0022118021729331306
1992-03-04,0.0017426439133926288
1992-03-05,0.0016916496598925065
1992-03-06,0.0019147367577554127
1992-03-09,0.0019232706440942976
1992-03-10,0.002321723652109894
1992-03-11,0.002050868412028368
1992-03-12,0.001960993827994206
1992-03-13,0.001832361389401437
1992-03-16,0.001671058697671756
1992-03-17,0.001625708921816576
1992-03-20,0.0017128499886734378
1992-03-31,0.0016397561409246379
1992-04-01,0.001814905257286477
1992-04-02,0.0017854896639527588
1992-04-03,0.0011966650984587513
1992-04-06,0.0012508020413395944
1992-04-07,0.001059125979665129
1992-04-08,0.001649274733239769
1992-04-09,0.0027912972361280428
1992-04-10,0.005565063389428598
1992-04-13,0.005527815027325526
1992-04-14,0.0055102394612238795
1992-04-15,0.007062474850939126
1992-04-22,0.007044147792398204
1992-04-23,0.006327266388823121
1992-04-24,0.006306178530351348
1992-04-27,0.00385602805127413
1992-04-28,0.0039532140260297565
1992-04-29,0.0037707740253270757
1992-04-30,0.0038992592444936467
1992-05-06,0.0040491483663683304
1992-05-07,0.004090963133879461
1992-05-08,0.0039018178443899943
1992-05-11,0.004182202715230939
1992-05-12,0.0040551866416245735
1992-05-15,0.0039991011887015844
1992-05-18,0.004473964968629064
1992-05-19,0.004120637323660771
1992-05-20,0.004018548390877594
1992-05-21,0.0037767875933619266
1992-05-22,0.0047609724759234955
1992-05-27,0.005333177902764189
1992-06-02,0.003193868945999225
1992-06-03,0.003068221213342457
1992-06-04,0.0036172639891427984
