Date,S&P500,Eurostoxx 50,Hang Seng,MSCI EM,SMI,US T 10-year Yield,German Gov 10-year yield,Oil futures,Gold,EURUSD,USDJPY,US IG Bonds,US HY Bonds,USDCHF
1990-01-04,,,,,,,,,,,,,,
1990-01-05,,,,,,,,,,,,,,
1990-01-08,,,,,,,,,,,,,,
1990-01-09,,,,,,,,,,,,,,
1990-01-10,,,,,,,,,,,,,,
1990-01-11,,,,,,,,,,,,,,
1990-01-12,,,,,,,,,,,,,,
1990-01-17,,,,,,,,,,,,,,
1990-01-18,,,,,,,,,,,,,,
1990-01-19,,,,,,,,,,,,,,
1990-01-22,,,,,,,,,,,,,,
1990-02-02,,,,,,,,,,,,,,
1990-02-05,,,,,,,,,,,,,,
1990-02-06,,,,,,,,,,,,,,
1990-02-07,,,,,,,,,,,,,,
1990-02-08,,,,,,,,,,,,,,
1990-02-09,,,,,,,,,,,,,,
1990-02-12,,,,,,,,,,,,,,
1990-02-13,,,,,,,,,,,,,,
1990-02-14,,,,,,,,,,,,,,
1990-02-15,,,,,,,,,,,,,,
1990-02-16,,,,,,,,,,,,,,
1990-03-02,,,,,,,,,,,,,,
1990-03-05,,,,,,,,,,,,,,
1990-03-06,,,,,,,,,,,,,,
1990-03-07,,,,,,,,,,,,,,
1990-03-08,,,,,,,,,,,,,,
1990-03-09,,,,,,,,,,,,,,
1990-03-12,,,,,,,,,,,,,,
1990-03-13,,,,,,,,,,,,,,
1990-03-14,,,,,,,,,,,,,,
1990-03-15,,,,,,,,,,,,,,
1990-03-16,,,,,,,,,,,,,,
1990-03-19,,,,,,,,,,,,,,
1990-03-20,,,,,,,,,,,,,,
1990-03-30,,,,,,,,,,,,,,
1990-04-03,,,,,,,,,,,,,,
1990-04-04,,,,,,,,,,,,,,
1990-04-09,,,,,,,,,,,,,,
1990-04-10,,,,,,,,,,,,,,
1990-04-11,,,,,,,,,,,,,,
1990-04-12,,,,,,,,,,,,,,
1990-04-18,,,,,,,,,,,,,,
1990-04-19,,,,,,,,,,,,,,
1990-04-20,,,,,,,,,,,,,,
1990-05-03,,,,,,,,,,,,,,
1990-05-04,,,,,,,,,,,,,,
1990-05-09,,,,,,,,,,,,,,
1990-05-10,,,,,,,,,,,,,,
1990-05-11,,,,,,,,,,,,,,
1990-05-14,,,,,,,,,,,,,,
1990-05-15,,,,,,,,,,,,,,
1990-05-16,,,,,,,,,,,,,,
1990-05-17,,,,,,,,,,,,,,
1990-05-18,,,,,,,,,,,,,,
1990-05-21,,,,,,,,,,,,,,
1990-05-22,,,,,,,,,,,,,,
1990-06-06,,,,,,,,,,,,,,
1990-06-07,,,,,,,,,,,,,,
1990-06-08,,,,,,,,,,,,,,
1990-06-11,,,,,,,,,,,,,,
1990-06-12,,,,,,,,,,,,,,
1990-06-13,,,,,,,,,,,,,,
1990-06-20,,,,,,,,,,,,,,
1990-06-29,,,,,,,,,,,,,,
1990-07-03,,,,,,,,,,,,,,
1990-07-06,,,,,,,,,,,,,,
1990-07-09,,,,,,,,,,,,,,
1990-07-10,,,,,,,,,,,,,,
1990-07-11,,,,,,,,,,,,,,
1990-07-12,,,,,,,,,,,,,,
1990-07-13,,,,,,,,,,,,,,
1990-07-16,,,,,,,,,,,,,,
1990-07-17,,,,,,,,,,,,,,
1990-07-18,,,,,,,,,,,,,,
1990-07-19,,,,,,,,,,,,,,
1990-07-20,,,,,,,,,,,,,,
1990-08-03,,,,,,,,,,,,,,
1990-08-06,,,,,,,,,,,,,,
1990-08-07,,,,,,,,,,,,,,
1990-08-08,,,,,,,,,,,,,,
1990-08-09,,,,,,,,,,,,,,
1990-08-10,,,,,,,,,,,,,,
1990-08-13,,,,,,,,,,,,,,
1990-08-14,,,,,,,,,,,,,,
1990-08-17,,,,,,,,,,,,,,
1990-08-20,,,,,,,,,,,,,,
1990-08-21,,,,,,,,,,,,,,
1990-08-31,,,,,,,,,,,,,,
1990-09-05,,,,,,,,,,,,,,
1990-09-06,,,,,,,,,,,,,,
1990-09-07,,,,,,,,,,,,,,
1990-09-10,,,,,,,,,,,,,,
1990-09-11,,,,,,,,,,,,,,
1990-09-12,,,,,,,,,,,,,,
1990-09-13,,,,,,,,,,,,,,
1990-09-14,,,,,,,,,,,,,,
1990-09-17,,,,,,,,,,,,,,
1990-09-18,,,,,,,,,,,,,,
1990-09-19,,,,,,,,,,,,,,
1990-09-20,,,,,,,,,,,,,,
1990-09-28,,,,,,,,,,,,,,
1990-10-02,,,,,,,,,,,,,,
1990-10-10,,,,,,,,,,,,,,
1990-10-11,,,,,,,,,,,,,,
1990-10-12,,,,,,,,,,,,,,
1990-10-15,,,,,,,,,,,,,,
1990-10-16,,,,,,,,,,,,,,
1990-10-17,,,,,,,,,,,,,,
1990-10-18,,,,,,,,,,,,,,
1990-10-19,,,,,,,,,,,,,,
1990-10-22,,,,,,,,,,,,,,
1990-10-31,,,,,,,,,,,,,,
1990-11-05,,,,,,,,,,,,,,
1990-11-06,,,,,,,,,,,,,,
1990-11-07,,,,,,,,,,,,,,
1990-11-08,,,,,,,,,,,,,,
1990-11-09,,,,,,,,,,,,,,
1990-11-14,,,,,,,,,,,,,,
1990-11-15,,,,,,,,,,,,,,
1990-11-16,,,,,,,,,,,,,,
1990-11-19,,,,,,,,,,,,,,
1990-11-30,,,,,,,,,,,,,,
1990-12-03,,,,,,,,,,,,,,
1990-12-04,,,,,,,,,,,,,,
1990-12-05,,,,,,,,,,,,,,
1990-12-06,,,,,,,,,,,,,,
1990-12-07,,,,,,,,,,,,,,
1990-12-10,,,,,,,,,,,,,,
1990-12-11,,,,,,,,,,,,,,
1990-12-12,,,,,,,,,,,,,,
1990-12-13,,,,,,,,,,,,,,
1990-12-14,,,,,,,,,,,,,,
1990-12-17,,,,,,,,,,,,,,
1990-12-18,,,,,,,,,,,,,,
1990-12-19,,,,,,,,,,,,,,
1991-01-04,,,,,,,,,,,,,,
1991-01-07,,,,,,,,,,,,,,
1991-01-08,,,,,,,,,,,,,,
1991-01-09,,,,,,,,,,,,,,
1991-01-10,,,,,,,,,,,,,,
1991-01-11,,,,,,,,,,,,,,
1991-01-14,,,,,,,,,,,,,,
1991-01-15,,,,,,,,,,,,,,
1991-01-16,,,,,,,,,,,,,,
1991-01-17,,,,,,,,,,,,,,
1991-01-18,,,,,,,,,,,,,,
1991-01-31,,,,,,,,,,,,,,
1991-02-01,,,,,,,,,,,,,,
1991-02-04,,,,,,,,,,,,,,
1991-02-05,,,,,,,,,,,,,,
1991-02-06,,,,,,,,,,,,,,
1991-02-07,,,,,,,,,,,,,,
1991-02-08,,,,,,,,,,,,,,
1991-02-11,,,,,,,,,,,,,,
1991-02-12,,,,,,,,,,,,,,
1991-02-13,,,,,,,,,,,,,,
1991-02-20,,,,,,,,,,,,,,
1991-02-28,,,,,,,,,,,,,,
1991-03-01,,,,,,,,,,,,,,
1991-03-04,,,,,,,,,,,,,,
1991-03-05,,,,,,,,,,,,,,
1991-03-06,,,,,,,,,,,,,,
1991-03-07,,,,,,,,,,,,,,
1991-03-08,,,,,,,,,,,,,,
1991-03-11,,,,,,,,,,,,,,
1991-03-12,,,,,,,,,,,,,,
1991-03-13,,,,,,,,,,,,,,
1991-03-14,,,,,,,,,,,,,,
1991-03-15,,,,,,,,,,,,,,
1991-03-18,,,,,,,,,,,,,,
1991-03-19,,,,,,,,,,,,,,
1991-03-20,,,,,,,,,,,,,,
1991-03-28,,,,,,,,,,,,,,
